Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pHis3_01	Peptides pHis3_02	Peptides pHis3_03	Peptides SMC1_01	Peptides SMC1_02	Peptides SMC1_03	Razor + unique peptides pHis3_01	Razor + unique peptides pHis3_02	Razor + unique peptides pHis3_03	Razor + unique peptides SMC1_01	Razor + unique peptides SMC1_02	Razor + unique peptides SMC1_03	Unique peptides pHis3_01	Unique peptides pHis3_02	Unique peptides pHis3_03	Unique peptides SMC1_01	Unique peptides SMC1_02	Unique peptides SMC1_03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type pHis3_01	Identification type pHis3_02	Identification type pHis3_03	Identification type SMC1_01	Identification type SMC1_02	Identification type SMC1_03	Sequence coverage pHis3_01 [%]	Sequence coverage pHis3_02 [%]	Sequence coverage pHis3_03 [%]	Sequence coverage SMC1_01 [%]	Sequence coverage SMC1_02 [%]	Sequence coverage SMC1_03 [%]	Intensity	Intensity pHis3_01	Intensity pHis3_02	Intensity pHis3_03	Intensity SMC1_01	Intensity SMC1_02	Intensity SMC1_03	LFQ intensity pHis3_01	LFQ intensity pHis3_02	LFQ intensity pHis3_03	LFQ intensity SMC1_01	LFQ intensity SMC1_02	LFQ intensity SMC1_03	MS/MS count pHis3_01	MS/MS count pHis3_02	MS/MS count pHis3_03	MS/MS count SMC1_01	MS/MS count SMC1_02	MS/MS count SMC1_03	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P47035	P47035	31	31	31	Nucleolar protein NET1	NET1	sp|P47035|NET1_YEAST Nucleolar protein NET1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NET1 PE=1 SV=1	1	31	31	31	24	14	14	15	13	16	24	14	14	15	13	16	24	14	14	15	13	16	33.8	33.8	33.8	128.53	1189	1189	0	154.76	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.7	17.7	15.6	19.7	13.5	18.8	856880000	200350000	42376000	322540000	43112000	29801000	218710000	176270000	98571000	120280000	85411000	109090000	112210000	28	9	10	8	7	8	70				920	66;1237;1697;2476;3383;4477;4671;4676;4897;4898;5355;5454;6367;7214;7367;7852;8148;8421;8691;8763;8830;8835;8864;9043;9289;9616;9664;9750;10619;11282;11760	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	68;1290;1764;2563;3507;4668;4871;4876;5103;5104;5580;5686;6631;7530;7531;7726;8254;8559;8844;9121;9193;9262;9268;9298;9485;9744;10087;10137;10224;11130;11819;12313	342;343;344;345;346;347;6788;9107;9108;9109;9110;12962;12963;12964;12965;12966;17605;17606;17607;17608;17609;23315;23316;23317;24372;24384;24385;24386;25473;25474;25475;25476;25477;25478;25479;28065;28066;28067;28068;28069;28070;28677;28678;33366;37737;37738;37739;37740;37741;37742;37743;37744;37745;37746;38671;41336;41337;41338;41339;41340;41341;41342;42779;42780;42781;42782;44028;45358;45686;45687;46094;46123;46124;46125;46126;46127;46128;46280;47150;48787;48788;48789;48790;48791;48792;50498;50499;50500;50501;50749;50750;50751;50752;50753;50754;51147;51148;51149;51150;51151;55691;55692;59492;59493;59494;59495;59496;62182;62183	270;271;272;5033;6733;6734;9486;9487;9488;9489;12960;12961;17191;17192;17991;18003;18794;18795;18796;18797;18798;20670;20671;20672;20673;21107;24633;27884;27885;27886;27887;27888;27889;27890;27891;28561;30553;30554;30555;31594;32519;33485;33727;34023;34051;34052;34053;34054;34055;34179;34828;35937;35938;35939;35940;37236;37237;37238;37239;37429;37430;37720;37721;37722;37723;41109;41110;43948;43949;43950;43951;45977	270;5033;6734;9487;12960;17191;17991;18003;18797;18798;20672;21107;24633;27887;28561;30553;31594;32519;33485;33727;34023;34054;34179;34828;35937;37239;37429;37723;41109;43948;45977	505	624
P47037	P47037	69	69	69	Structural maintenance of chromosomes protein 3	SMC3	sp|P47037|SMC3_YEAST Structural maintenance of chromosomes protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SMC3 PE=1 SV=1	1	69	69	69	7	19	20	61	66	52	7	19	20	61	66	52	7	19	20	61	66	52	56.9	56.9	56.9	141.33	1230	1230	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.3	20.7	21.8	53.8	55.1	50.7	5347800000	45614000	36615000	210780000	1600900000	1339500000	2114400000	65623000	83515000	80698000	2396400000	3438300000	1682200000	2	2	1	66	73	47	191				921	793;1298;1736;1745;1767;1846;1887;1929;2766;2881;2882;3297;3357;3624;3909;3910;4262;4278;4344;4345;4632;4736;4756;4832;4971;4972;5204;5283;5350;5458;5684;6054;6055;6078;6149;6424;6425;6433;6434;6461;6518;6519;6611;6614;6641;6666;6712;6714;6715;6750;6751;6806;6883;7263;7343;7750;7751;8080;8098;8571;9316;9520;10155;10863;10930;11523;11666;11690;12429	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	835;1353;1805;1814;1836;1917;1960;2003;2004;2862;2983;2984;3416;3480;3768;4069;4070;4437;4454;4523;4524;4832;4937;4957;5036;5180;5181;5182;5420;5505;5575;5690;5925;6309;6310;6333;6404;6693;6694;6702;6703;6704;6731;6792;6793;6891;6894;6921;6947;6993;6994;6996;6997;7032;7033;7090;7171;7595;7596;7697;8137;8138;8489;8490;8508;8999;9771;9986;10649;11379;11451;12067;12214;12239;13006;13007	4399;4400;4401;4402;4403;4404;4405;4406;7103;9413;9414;9415;9416;9417;9464;9465;9466;9543;9903;9904;10077;10231;10232;10233;10234;10235;10236;14427;14428;15055;15056;15057;15058;15059;17152;17153;17154;17155;17486;17487;18936;18937;20436;20437;20438;20439;20440;20441;22232;22233;22234;22293;22294;22295;22296;22297;22298;22642;22643;22644;22645;22646;22647;22648;22649;22650;22651;22652;22653;22654;22655;22656;22657;22658;22659;22660;24183;24184;24185;24186;24187;24188;24662;24663;24664;24755;24756;24757;24758;25186;25187;25188;25925;25926;25927;25928;25929;25930;25931;25932;27232;27708;27709;27710;27711;28028;28029;28030;28693;28694;29942;29943;29944;31785;31786;31787;31788;31789;31790;31791;31792;31793;31794;31795;31903;31904;31905;31906;31907;32308;32309;32310;33602;33603;33604;33605;33606;33636;33637;33638;33639;33640;33641;33642;33643;33644;33774;33775;33776;33777;33778;33779;33780;33781;33782;34135;34136;34137;34138;34139;34556;34557;34558;34559;34560;34574;34575;34576;34577;34578;34579;34742;34743;34744;34745;34746;34747;34748;34749;34750;34751;34865;34866;34867;34868;34869;34870;34871;35097;35098;35099;35100;35101;35102;35108;35109;35110;35111;35112;35113;35114;35115;35116;35277;35278;35279;35280;35281;35282;35283;35284;35285;35286;35553;35554;35555;35556;36044;36045;36046;36047;36048;36049;36050;38045;38046;38047;38048;38049;38050;38535;38536;38537;40682;40683;40684;40685;40686;40687;40688;40689;40690;42436;42437;42438;42439;42539;42540;42541;42542;44732;44733;44734;44735;48918;48919;48920;50032;50033;53335;53336;53337;56989;56990;57543;57544;57545;60853;60854;61670;61671;61672;61673;61788;61789;65744;65745;65746;65747;65748	3310;3311;3312;3313;3314;5259;6944;6945;6946;6947;6980;6981;7035;7295;7414;7520;7521;7522;10581;10582;11068;11069;11070;12635;12636;12637;12878;12879;13957;13958;15037;15038;15039;15040;15041;16378;16379;16420;16421;16422;16685;16686;16687;16688;16689;16690;16691;16692;16693;16694;17853;17854;17855;17856;17857;18188;18256;18257;18258;18585;19135;19136;19137;19138;19139;19140;19141;20071;20416;20417;20418;20644;21120;21121;22052;22053;23462;23463;23464;23465;23466;23467;23468;23469;23554;23555;23856;23857;23858;24810;24811;24812;24813;24814;24835;24836;24837;24838;24839;24840;24940;24941;24942;24943;25204;25205;25206;25207;25208;25504;25505;25506;25518;25519;25520;25521;25645;25646;25647;25648;25649;25650;25651;25652;25653;25744;25745;25746;25747;25748;25919;25920;25921;25922;25925;25926;25927;25928;25929;25930;25931;26038;26039;26040;26041;26042;26043;26244;26245;26246;26597;26598;26599;28118;28119;28120;28121;28122;28463;30037;30038;30039;30040;30041;30042;30043;30044;31342;31343;31419;31420;33026;33027;36032;36033;36034;36866;39351;39352;39353;42085;42086;42508;42509;44969;44970;45594;45595;45680;48657;48658;48659;48660	3310;5259;6944;6981;7035;7295;7414;7522;10582;11068;11070;12635;12878;13958;15037;15041;16379;16420;16686;16693;17855;18188;18256;18585;19135;19140;20071;20418;20644;21120;22052;23463;23468;23554;23856;24811;24812;24835;24839;24940;25205;25208;25504;25520;25649;25746;25921;25926;25929;26039;26042;26245;26597;28120;28463;30038;30042;31342;31420;33027;36032;36866;39352;42085;42508;44969;45594;45680;48659	506;507;508;509;510;511;512;513;514	131;139;200;210;246;368;511;855;984
P47047	P47047	23	23	23	ATP-dependent RNA helicase DOB1	MTR4	sp|P47047|MTR4_YEAST ATP-dependent RNA helicase DOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MTR4 PE=1 SV=1	1	23	23	23	16	19	12	20	14	14	16	19	12	20	14	14	16	19	12	20	14	14	26.2	26.2	26.2	122.05	1073	1073	0	115.01	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	19.4	23.2	15.3	23.3	18.4	17.5	713400000	164810000	87040000	223900000	96795000	42142000	98714000	148220000	140410000	110400000	129220000	135240000	90376000	17	11	8	16	11	10	73				922	608;1385;3210;3586;3609;3610;4032;4677;4678;5164;5682;5748;5872;6157;6808;7363;7410;8554;8613;9147;10899;11880;11881	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	641;1445;3325;3725;3749;3750;4195;4877;4878;5378;5923;5992;6119;6412;7092;7720;7781;8981;9042;9596;11418;12443;12444	3447;3448;3449;7545;7546;7547;16695;16696;16697;16698;18736;18737;18738;18739;18857;18858;18859;21058;21059;21060;21061;21062;21063;24387;24388;24389;24390;24391;24392;24393;24394;24395;24396;27039;27040;27041;27042;29932;30256;30257;30258;30259;30260;30838;30839;30840;30841;30842;30843;30844;32341;32342;32343;32344;32345;32346;35558;35559;35560;35561;35562;35563;38653;38654;38655;38941;38942;38943;38944;38945;38946;44648;44649;44650;44651;44652;44952;44953;48014;48015;48016;48017;48018;57326;57327;57328;57329;57330;62921;62922;62923;62924;62925;62926;62927;62928;62929;62930;62931;62932;62933;62934	2599;5597;5598;12294;12295;12296;13812;13813;13901;13902;15489;15490;15491;15492;15493;15494;18004;18005;18006;18007;18008;18009;18010;18011;19939;19940;22046;22286;22287;22288;22744;22745;22746;22747;22748;22749;23882;23883;23884;23885;23886;23887;26248;26249;26250;26251;26252;26253;28550;28750;28751;32964;32965;32966;33181;35366;35367;35368;42343;42344;42345;42346;46542;46543;46544;46545;46546;46547;46548;46549;46550;46551;46552	2599;5598;12296;13812;13901;13902;15492;18005;18010;19940;22046;22286;22749;23884;26249;28550;28751;32965;33181;35368;42345;46547;46551		
P47054	P47054	1	1	1	Nucleoporin NUP192	NUP192	sp|P47054|NU192_YEAST Nucleoporin NUP192 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NUP192 PE=1 SV=1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	191.53	1683	1683	0	6.7813	By matching	By matching	By MS/MS	By matching		By matching	1	1	1	1	0	1	13600000	1546900	801600	6454200	708770	0	4088300	1580300	1497300	3363600	1347200	0	2229600	0	0	1	0	0	0	1				923	11745	True	12298	62101;62102;62103;62104;62105	45918	45918		
P47064	P47064	3	3	3	AP-3 complex subunit sigma	APS3	sp|P47064|AP3S_YEAST AP-3 complex subunit sigma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APS3 PE=1 SV=1	1	3	3	3	1	2	2	2	3	3	1	2	2	2	3	3	1	2	2	2	3	3	28.9	28.9	28.9	21.938	194	194	0	9.6835	By matching	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	6.7	19.6	16	19.6	28.9	28.9	172440000	22247000	21156000	55471000	17440000	11020000	45104000	29878000	39058000	32817000	23301000	26063000	23144000	0	1	3	0	0	1	5				924	4834;6303;6901	True;True;True	5038;6565;7191	25191;25192;25193;33080;33081;33082;33083;33084;33085;33086;33087;33088;33089;33090;36137;36138;36139;36140	18588;18589;24413;24414;26659	18589;24414;26659		
P47068	P47068	4	4	4	Myosin tail region-interacting protein MTI1	BBC1	sp|P47068|BBC1_YEAST Myosin tail region-interacting protein MTI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BBC1 PE=1 SV=2	1	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4.2	4.2	4.2	128.29	1157	1157	0	12.607	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	2.6	2.5	2.8	2.5	2.5	2.8	96512000	19696000	6769700	27103000	8408800	6670300	27865000	19184000	10221000	15284000	13070000	18060000	19566000	1	1	1	0	1	1	5				925	3810;3938;7565;11599	True;True;True;True	3961;4098;7946;12143	19898;20569;20570;20571;39812;39813;39814;39815;39816;39817;61308;61309	14634;15128;29379;45313;45314	14634;15128;29379;45314		
P47075	P47075	16	16	16	Vacuolar transporter chaperone 4	VTC4	sp|P47075|VTC4_YEAST Vacuolar transporter chaperone 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VTC4 PE=1 SV=2	1	16	16	16	8	11	10	10	12	12	8	11	10	10	12	12	8	11	10	10	12	12	29.4	29.4	29.4	83.154	721	721	0	37.432	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.9	20.5	19.7	19.4	23.2	25	1048400000	80426000	93259000	310230000	80057000	63059000	421380000	133770000	196570000	166390000	155680000	166160000	137780000	6	5	8	7	9	8	43				926	1688;2577;3122;3407;4708;4743;5724;6220;6537;10144;10262;10726;11337;12510;12568;12571	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1754;2668;3233;3532;4908;4944;5966;6479;6811;10638;10759;11238;11879;13090;13150;13153	9060;9061;9062;9063;9064;9065;13406;13407;13408;13409;13410;16229;16230;16231;16232;16233;17731;24531;24693;24694;24695;24696;24697;24698;24699;24700;24701;30142;30143;30144;30145;30146;30147;32704;32705;32706;32707;32708;32709;34213;34214;34215;34216;53297;53880;53881;53882;53883;53884;53885;53886;53887;53888;56226;56227;59809;59810;59811;66173;66174;66175;66176;66477;66478;66479;66480;66481;66482;66494;66495	6706;9817;9818;9819;9820;11949;11950;11951;11952;11953;13060;18102;18209;18210;18211;18212;18213;22199;22200;22201;22202;22203;22204;24144;25262;25263;39322;39760;39761;39762;39763;39764;39765;39766;41515;44177;48988;48989;49215;49216;49217;49218;49229	6706;9820;11953;13060;18102;18211;22200;24144;25262;39322;39765;41515;44177;48988;49215;49229	515	329
P47077	P47077	13	13	13	Nucleolar protein 9	NOP9	sp|P47077|NOP9_YEAST Nucleolar protein 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP9 PE=1 SV=1	1	13	13	13	8	10	11	7	8	7	8	10	11	7	8	7	8	10	11	7	8	7	19.5	19.5	19.5	77.721	666	666	0	69.798	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.9	15.5	17.1	12.3	12.6	12.5	503960000	71197000	45701000	230980000	37770000	28047000	90261000	78780000	72148000	73148000	75636000	68521000	83074000	7	5	5	5	3	6	31				927	593;594;1213;1486;2140;2591;2968;7033;8175;8265;8909;8983;10992	True;True;True;True;True;True;True;True;True;True;True;True;True	626;627;1266;1548;2222;2682;3075;7325;8586;8682;9346;9424;11518	3386;3387;3388;3389;3390;3391;3392;3393;6682;6683;8061;8062;11226;11227;11228;11229;11230;13509;13510;13511;13512;13513;15470;15471;36843;36844;36845;36846;36847;36848;42893;42894;42895;42896;42897;42898;43285;46494;46495;46496;46497;46498;46499;46864;46865;46866;46867;57921;57922;57923;57924;57925;57926	2561;2562;2563;4957;5979;8232;9887;9888;9889;11394;27211;27212;27213;27214;27215;27216;31682;31683;31684;31973;34336;34337;34338;34339;34340;34622;34623;42789;42790;42791;42792	2561;2563;4957;5979;8232;9887;11394;27214;31682;31973;34340;34623;42792		
P47079	P47079	17	17	17	T-complex protein 1 subunit theta	CCT8	sp|P47079|TCPQ_YEAST T-complex protein 1 subunit theta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCT8 PE=1 SV=1	1	17	17	17	6	14	13	14	11	13	6	14	13	14	11	13	6	14	13	14	11	13	43.7	43.7	43.7	61.662	568	568	0	86.514	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.3	38.9	36.1	38.9	30.6	33.6	781630000	61067000	86105000	284830000	97131000	51209000	201290000	89485000	183310000	127150000	137570000	127800000	110520000	5	10	11	9	10	9	54				928	312;700;1831;1832;2166;2862;4199;4461;5497;5844;6337;6565;8282;9448;10640;11004;11019	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	328;741;1901;1902;2248;2963;4371;4649;4650;5735;6090;6600;6845;8699;9909;11151;11530;11545	1796;1797;1798;3873;3874;3875;3876;3877;9823;9824;9825;9826;9827;11397;11398;11399;11400;14944;14945;14946;14947;14948;14949;21901;21902;23234;23235;23236;23237;23238;23239;23240;23241;29004;29005;29006;29007;29008;29009;30664;30665;30666;30667;30668;30669;30670;30671;33226;33227;33228;33229;33230;34366;43339;43340;43341;49633;49634;49635;49636;49637;55810;55811;55812;55813;55814;55815;57978;57979;57980;58035;58036;58037;58038;58039	1386;1387;1388;2917;7247;7248;8368;10981;10982;10983;10984;10985;10986;16126;16127;17131;17132;17133;17134;17135;17136;17137;21345;21346;21347;21348;22601;22602;22603;22604;22605;22606;24526;24527;24528;25368;32013;32014;36559;36560;36561;36562;41204;41205;41206;41207;41208;41209;41210;41211;42829;42830;42831;42872;42873;42874	1388;2917;7247;7248;8368;10986;16127;17134;21348;22604;24528;25368;32014;36561;41208;42831;42872	516;517	213;546
P47083	P47083	15	15	15	U3 small nucleolar RNA-associated protein MPP10	MPP10	sp|P47083|MPP10_YEAST U3 small nucleolar RNA-associated protein MPP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPP10 PE=1 SV=1	1	15	15	15	8	10	9	11	11	8	8	10	9	11	11	8	8	10	9	11	11	8	29.5	29.5	29.5	66.952	593	593	0	52.997	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18	20.2	20.7	23.8	23.8	19.1	337290000	44825000	36635000	129590000	41501000	24458000	60280000	50642000	56626000	54188000	55985000	56828000	55275000	8	8	8	6	8	7	45				929	1022;1415;4205;4591;4592;5734;7491;7699;8293;8695;8977;9100;9313;10082;12008	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1070;1475;4377;4789;4790;5977;7867;8084;8710;9125;9418;9546;9768;10575;10576;12574	5722;7693;7694;7695;7696;7697;21919;21920;21921;21922;23942;23943;23944;23945;23946;23947;23948;23949;23950;23951;23952;23953;23954;30182;30183;30184;30185;30186;39406;39407;39408;40452;40453;40454;43417;45378;46841;46842;46843;47437;47438;47439;47440;47441;47442;48905;48906;48907;48908;48909;53020;53021;53022;53023;53024;53025;53026;53027;53028;53029;63553;63554;63555	4278;5706;5707;5708;5709;16140;16141;17672;17673;17674;17675;17676;17677;17678;17679;17680;22228;22229;22230;29072;29073;29074;29867;29868;32076;33495;34607;34608;35039;35040;35041;35042;35043;35044;36024;36025;39106;39107;39108;39109;39110;39111;39112;47029;47030;47031	4278;5706;16141;17675;17678;22228;29073;29867;32076;33495;34608;35041;36024;39110;47029	518	368
P47089	P47089	6	6	6	Translation machinery-associated protein 22	TMA22	sp|P47089|DENR_YEAST Translation machinery-associated protein 22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TMA22 PE=1 SV=1	1	6	6	6	4	5	4	5	6	3	4	5	4	5	6	3	4	5	4	5	6	3	46	46	46	22.495	198	198	0	54.895	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.7	31.3	26.8	31.3	46	20.2	330560000	48529000	64869000	97137000	57573000	30435000	32018000	62863000	97387000	53415000	75423000	65442000	45206000	4	6	3	5	7	3	28				930	2184;3177;5550;7076;7413;11891	True;True;True;True;True;True	2266;3290;5790;7369;7784;12454	11477;11478;11479;11480;16538;16539;16540;16541;29343;29344;29345;29346;29347;29348;37019;37020;37021;37022;37023;37024;37025;37026;37027;37028;38962;63000;63001;63002;63003;63004;63005	8425;8426;8427;8428;8429;12188;12189;12190;21596;21597;21598;21599;21600;21601;27354;27355;27356;27357;27358;27359;27360;27361;28763;46600;46601;46602;46603;46604	8428;12188;21599;27359;28763;46601	519	159
